time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-11 00:00:00+00:00,11,8,170,55
2024-08-12 00:00:00+00:00,33,25,539,174
2024-08-13 00:00:00+00:00,23,19,698,200
2024-08-14 00:00:00+00:00,13,12,684,179
2024-08-15 00:00:00+00:00,20,16,533,164
2024-08-16 00:00:00+00:00,15,12,482,168
2024-08-17 00:00:00+00:00,15,12,221,70
2024-08-18 00:00:00+00:00,14,11,195,86
2024-08-19 00:00:00+00:00,16,13,738,226
2024-08-20 00:00:00+00:00,29,15,779,208
2024-08-21 00:00:00+00:00,12,9,527,177
2024-08-22 00:00:00+00:00,21,16,652,180
2024-08-23 00:00:00+00:00,16,14,542,144
2024-08-24 00:00:00+00:00,16,11,262,82
